line_no,page,line_id,sentence_text,statute_raw,pattern_name,match_text,local_start,local_end,global_start,global_end,canonical_id
8,0,8,"By the impugned judgment and order,
the High Court has confirmed the judgment of conviction and order of sentence passed by the Court
of Sessions Judge, Pune in Sessions Case No.284 of 2008, dated 20.03.2012, whereby the learned
Sessions Judge has convicted the accused-appellants for the offence under Sections 302, 376(2)(g),
364 and 404 read with Section 120-B of the Indian Penal Code, 1860 (for short, “the IPC”) and
consequently awarded death sentence.",302,section_keyword,Sections 302,312,315,1359,1362,IPC_302
8,0,8,"By the impugned judgment and order,
the High Court has confirmed the judgment of conviction and order of sentence passed by the Court
of Sessions Judge, Pune in Sessions Case No.284 of 2008, dated 20.03.2012, whereby the learned
Sessions Judge has convicted the accused-appellants for the offence under Sections 302, 376(2)(g),
364 and 404 read with Section 120-B of the Indian Penal Code, 1860 (for short, “the IPC”) and
consequently awarded death sentence.",120-B,section_keyword,Section 120-B,358,363,1405,1410,IPC_120B
8,0,8,"By the impugned judgment and order,
the High Court has confirmed the judgment of conviction and order of sentence passed by the Court
of Sessions Judge, Pune in Sessions Case No.284 of 2008, dated 20.03.2012, whereby the learned
Sessions Judge has convicted the accused-appellants for the offence under Sections 302, 376(2)(g),
364 and 404 read with Section 120-B of the Indian Penal Code, 1860 (for short, “the IPC”) and
consequently awarded death sentence.",1860,ipc_prefix,"Indian Penal Code, 1860",390,394,1437,1441,
8,0,8,"By the impugned judgment and order,
the High Court has confirmed the judgment of conviction and order of sentence passed by the Court
of Sessions Judge, Pune in Sessions Case No.284 of 2008, dated 20.03.2012, whereby the learned
Sessions Judge has convicted the accused-appellants for the offence under Sections 302, 376(2)(g),
364 and 404 read with Section 120-B of the Indian Penal Code, 1860 (for short, “the IPC”) and
consequently awarded death sentence.",120-B,section_of_ipc,Section 120-B of the Indian Penal Code,358,363,1405,1410,IPC_120B
43,2,5,"Therefore, an offence under Section
302 of the IPC was registered and the spot panchanama was prepared in the presence of PW-3.",302,section_keyword,Section 302,36,39,383,386,IPC_302
43,2,5,"Therefore, an offence under Section
302 of the IPC was registered and the spot panchanama was prepared in the presence of PW-3.",302,section_of_ipc,Section 302 of the IPC,36,39,383,386,IPC_302
69,2,31,"On 05.03.2009, the
charges were framed under Sections 364, 376(2)(g) and 302 read with 34 and 404 read with 34 of
the IPC.",364,section_keyword,Sections 364,54,57,3331,3334,IPC_364
70,2,32,"On 03.04.2010, the charge was altered and the independent charge of conspiracy under
Section 120-B of the IPC was added.",120-B,section_keyword,Section 120-B,93,98,3493,3498,IPC_120B
70,2,32,"On 03.04.2010, the charge was altered and the independent charge of conspiracy under
Section 120-B of the IPC was added.",120-B,section_of_ipc,Section 120-B of the IPC,93,98,3493,3498,IPC_120B
71,2,33,"Additionally, the charge under Section 120-B of the IPC was
added with the charge under Sections 302, 376(2)(g), 364 and 404 of the IPC.",120-B,section_keyword,Section 120-B,39,44,3560,3565,IPC_120B
71,2,33,"Additionally, the charge under Section 120-B of the IPC was
added with the charge under Sections 302, 376(2)(g), 364 and 404 of the IPC.",302,section_keyword,Sections 302,97,100,3618,3621,IPC_302
71,2,33,"Additionally, the charge under Section 120-B of the IPC was
added with the charge under Sections 302, 376(2)(g), 364 and 404 of the IPC.",120-B,section_of_ipc,Section 120-B of the IPC,39,44,3560,3565,IPC_120B
88,3,15,"The Sessions Court has noticed that the evidence of
PW-12, which states that the deceased was last seen in the company of accused-appellants, coupled
with the lack of explanation for the same by the accused-appellants in their statements under
Section 313 of the Code, provides a firm link in the chain of circumstances.",313,section_keyword,Section 313,252,255,2524,2527,IPC_313
99,4,5,"After
affording an opportunity of hearing to the accused-appellants on the question of sentence, the
Sessions Court has awarded them death sentence and fine of Rs.5,000/- each for the offence
punishable under Section 120-B of the IPC, death sentence and fine of Rs.5,000/- each for the
offence punishable under Section 302 read with Section 120-B of the IPC; imprisonment for life and
fine of Rs.5,000/- for the offence punishable under Section 376(2)(g) read with Section 120-B of the
IPC; imprisonment for life and fine of Rs.5,000/- each for the offence punishable under Section 364
read with Section 120-B of the IPC; and rigorous imprisonment for two years and a fine of
Rs.10,000/- each for the offence punishable under Section 404 read with Section 120-B of the IPC.",120-B,section_keyword,Section 120-B,217,222,894,899,IPC_120B
